Plat,Pays,Catégorie,Protéines (g),Lipides (g),Glucides (g),Calories (kcal),Fibres (g),Sucres (g),Sodium (mg)
Couscous,FRANCE,Plat principal,188.77455,443.403025,1237.3469499999999,9664.3525,37.375,0,8744.059999999998
Pizza,FRANCE,Fast-food,35.33935,130.6214,93.624525,1680.8325,5.611999999999999,0,1156.0649999999998
Ratatouille,FRANCE,Végétarien,33.05748,91.15172,167.1906,1534.8800000000003,48.1334,0,185.60999999999999
Cassoulet,FRANCE,Plat principal,232.15600000000003,202.74550000000005,472.379,5769.95,91.81500000000001,0,8547.850000000002
Sushi,JAPON,Poisson,10.993,35.8723,91.7889,870.0900000000001,3.125,0,2398.66
Udon,JAPON,Nouilles,28.7305,27.607225,1338.4953750000002,5689.305,24.210250000000002,0,15272.1636
Tonkatsu,JAPON,Viande,12.875300000000001,58.2151,2077.279,8502.15,2.835,0,1114.91
Teriyaki,JAPON,Sauce,90.36200000000001,70.497,43.117000000000004,1169.7,17.2,0,3126.9999999999995
Lasagna,ITALIE,Pâtes,70.30454999999999,162.0097,516.2059,3550.795,21.064500000000002,0,4753.96
Risotto,ITALIE,Riz,35901.4865,29740.3375,60906.04425,658427.325,4515.375,0,1270150.5
Osso Buco,ITALIE,Viande,101.6036,2266.81196,226.2144,21335.100000000002,14.594,0,15009.599
Moussaka,GRÈCE,Plat principal,137.5,89.12400000000001,124.7826,2434.55,17.482,0,3519.64
Souvlaki,GRÈCE,Viande,139.04500000000002,1638.8825,150.8675,15927.1,11.2,0,12550.400000000001
Tzatziki,GRÈCE,Sauce,156.6148,144.02419999999998,76.1152,2264.37,4.278,0,2170.36
Saganaki,GRÈCE,Fromage,70.91777499999999,108.98287499999999,124.972075,1959.795,5.01975,0,2685.0449999999996
Greek Salad,GRÈCE,Salade,130.87050000000002,78.97349999999999,178.8376,1091.595,14.768999999999998,0,2098.4799999999996
Biryani,INDE,Riz,393.21959999999996,3183.6176,472.1252000000001,31993.669999999995,68.139,0,24397.146199999996
Tandoori Chicken,INDE,Volaille,3633.3187000000007,2478.0153,83.80370000000002,37136.75,4.788,0,53851.35999999999
Green Curry,THAÏLANDE,Curry,80068.7484,19787.2094,94.46759999999998,499658.11,9.360999999999999,0,1503419.28
Pad See Ew,THAÏLANDE,Nouilles,108.201,1558.768,119.2051,14888.0,31.42,0,14965.8
